Sentence,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average
"gh,  I'm so sorry ugh, I'm so sorry”
",0.16920151,0.10075124,0.21345155,0.23843768,0.1600556,0.16289924,0.17413280333333334
"... we're just friends.""

",0.046207145,0.014633698,0.033695843,0.060366254,0.020185841,0.022701273,0.032965009
"You had  don't have to worry about me.""",0.08745308,0.022336246,0.018229159,0.06684828,0.029572425,0.03719967,0.04360647666666667
".

""I think there's more",0.048228268,0.016675962,0.055971093,0.0662965,0.0323527,0.025528368,0.040842148499999995
" hypocrite and a ""douchebag.""

""Is it because of your religion?""",0.9156528,0.7041519,0.335476,0.054139283,0.8288285,0.77701986,0.6025447238333334
" amazing shot of the sky!"" as if it were a new toy to be played with for  it",0.15090165,0.092553414,0.099095486,0.5199805,0.09784214,0.055459246,0.169305406
" cheater on my own team, “but I do the best “I can with what",0.39341033,0.1640888,0.122335374,0.22254248,0.23513289,0.13056149,0.21134522733333336
 he's a perfect model to look  and feel the perfect vibe of the music. His voice is,0.06129334,0.017703012,0.053782016,0.043819025,0.03059946,0.017073262,0.037378352499999996
  boob‘ and ‘proudly ‘proud for the ‘s,0.28128868,0.14434302,0.68371606,0.075442895,0.2926742,0.15928893,0.27279229749999995
Ive never said a n,0.15267251,0.086759016,0.09646994,0.1696699,0.10965638,0.1743978,0.1316042576666667
" dead, dead, dead, dead, dead  from the back of",0.6582295,0.6021124,0.0978432,0.91297597,0.38603514,0.250468,0.4846107016666667
" and violence, but the  main thrust is love.

""I think the single has been",0.17963901,0.08220091,0.05604305,0.40915304,0.07583342,0.07932661,0.14703267333333334
" glitz, and you",0.101067126,0.04055459,0.08165433,0.07455623,0.083690815,0.048636734,0.07169330416666668
"  people looking for a quick buck.

I don't know",0.1449095,0.05095269,0.063314386,0.118252136,0.08746886,0.12879343,0.09894850033333331
" hurts me, and  you know it too, but I’m not just talking about me",0.115701735,0.05329655,0.09873665,0.2606689,0.07778242,0.06257317,0.11145990416666667
" night, a light from a flashlight, it's so beautiful, I want to touch it, I",0.31089434,0.18536791,0.68371606,0.41497725,0.27260733,0.11913106,0.33111565833333334
"  any reason.

""Let's see what's",0.03575171,0.012520515,0.041094046,0.06001517,0.019651247,0.018211272,0.03120732666666667
"ags” are all  looking for me.”

”De la Rion",0.060567725,0.025873119,0.14083783,0.047905266,0.066329055,0.058507785,0.06667013
"Been A Good Person” and “In The Middle Of It All”,",0.06112509,0.019262128,0.027644152,0.048220217,0.022118067,0.06463838,0.040501339
" into a white man's radio show, has become the second  annual Asian-American-focused political",0.45105845,0.24324039,0.15128024,0.2452598,0.1830248,0.68033177,0.32569924166666664
" face and tell her to shut up and leave, do my job, which is to make her look",0.6364068,0.31159195,0.1305279,0.39244434,0.32697025,0.29714677,0.349181335
" and f**k white people ”, where she raps, “I f**ked",0.8785311,0.80814576,0.63489497,0.43039593,0.876051,0.87698615,0.7508341516666667
 #thatsmybody #mybodyisnotacontainer #bodypositive #thatsmybody,0.24047467,0.13960259,0.37121016,0.30524263,0.2280691,0.09213261,0.22945529333333328
" ""I “ want  him.""

Police in",0.06856024,0.024828816,0.09580836,0.119856715,0.042773858,0.03085679,0.0637807965
", but I'm getting there at around 5 seconds, and the  part I'm getting there at",0.050668985,0.01819042,0.07338578,0.08177386,0.037693456,0.025073204,0.0477976175
" up their narratives about how to  use social media.

""He’s a",0.066855274,0.01457951,0.0324697,0.041380983,0.022351637,0.03927344,0.03615175733333333
"up  people-hating, soulless, soulless, soulless, sou",0.6048205,0.30798498,0.08987553,0.26842886,0.32796723,0.26262894,0.31028434
" him by  so he could not back away, and then pulled him behind the bar and struck him",0.51348263,0.3686647,0.3717744,0.8763936,0.24708481,0.16831468,0.4242858033333334
" them, mate.

Paul: All right, cool, let's do it.

",0.059617955,0.032387637,0.10194287,0.10964531,0.054224707,0.05455095,0.06872823816666666
"-sipping  bastard,"" he spat at him, and then moved away.

""I",0.88824683,0.6853243,0.2310304,0.5750296,0.8865321,0.27618316,0.590391065
" racist,"" he says.

""I don't think it was a big deal,"" he",0.5154597,0.2997596,0.08561339,0.092308454,0.2768884,0.5670104,0.306173324
" speech from the left, the biased talking points and the  two-faced nature of the left,""",0.15078068,0.055164617,0.035753246,0.09034816,0.04722534,0.15127932,0.08842522716666668
" hands on me as I lay there on my back,

”and as I",0.1492787,0.07526977,0.32963064,0.23317108,0.14487502,0.05756461,0.16496497
" ""I'll take every chance  ever to be on the field,"" and went back to look at",0.058371603,0.025221534,0.054186456,0.18062073,0.033443604,0.043057512,0.06581690650000001
" in front of everyone  is a big deal and he'll go crazy,"" he says.

",0.5154597,0.1653778,0.09026485,0.121027075,0.2871348,0.13994884,0.21986884416666663
