Sentence,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average
" r a god who can do anything!‬. This ""god"" is usually not the real",0.19137695,0.11249998,0.06572737,0.09112341,0.120179825,0.32624182,0.15119155916666668
"‬."" she said turning the back of her head to stare at me. ""This girl has",0.48881698,0.24619561,0.36522156,0.3060224,0.24366291,0.30370095,0.3256034016666667
They will not take it lying down so I hope someone brings a Taser or gun to the house,0.32416707,0.1975493,0.040170174,0.79783887,0.09453145,0.10099873,0.2592092656666667
" on him, the report stated. The court ordered the pair to meet him and sign an agreement.",0.043710466,0.0148471845,0.021483308,0.0729283,0.012210779,0.01121878,0.029399802916666672
" rapist and a bigot. He said the feminist went off on him all day in their ""pet name",0.8108937,0.6715595,0.9000425,0.707355,0.67071766,0.79974,0.7600513933333334
" weirdly specific form"" or whatever you call it thing, that seems to be getting worse and worse",0.2409603,0.05311687,0.072649784,0.06993318,0.07616813,0.070639595,0.09724464316666666
" rat. And I'm proud of that.""

""We will get through this. I don",0.6317591,0.31659475,0.21536006,0.3230017,0.51552266,0.27403665,0.37937915333333344
 she's also good friends with Sarah and the two of them look more than happy to be there as,0.06091655,0.022888407,0.07846219,0.057706695,0.039882075,0.033244573,0.04885008166666666
‘‘‘ faggot who did not mean to offend her. This incident followed,0.87790275,0.7736227,0.4748638,0.38329086,0.8868394,0.8791926,0.7126186849999999
It makes me want to cry when you try and divide & label us based on the colour of our,0.15205862,0.07747276,0.04504947,0.14156272,0.07530991,0.24108219,0.12208927833333333
"‖ then she kicked him in the head.

""The victim was attempting to break her",0.6355148,0.45505697,0.11914035,0.9132166,0.22134922,0.2708744,0.4358587233333333
" and drugs, with no rules or boundaries (I love that word! We need it here!). The",0.10263575,0.042679567,0.048751786,0.16238894,0.059808064,0.062474705,0.079789802
" glamour,‖ I know you know that we were there. You, the police of the",0.24217255,0.13612421,0.08518133,0.46701533,0.12275356,0.16202027,0.20254454166666666
" thug.‬ If you think your daughter‪s brain is pure, I urge you to",0.6703494,0.46444517,0.2036653,0.608774,0.3801541,0.3153993,0.440464545
" pisses me off

Cathy Young

White folks I know are trying not to engage",0.5154597,0.39259225,0.34350327,0.34621584,0.5090905,0.6350989,0.45699341
 the door/You are an hour late for school/We don't wait for you anymore/Don,0.15212218,0.054788627,0.058338273,0.13952225,0.09125346,0.10296148,0.099831045
 damn when the woman who is going to die asks her friend to pray. But they are here to,0.8060606,0.65882754,0.1398024,0.9138363,0.82941633,0.40274778,0.6251151583333333
"—ing punks are killing my a—.""


De la Rionda also quoted Zimmerman",0.5347934,0.42893595,0.18873872,0.8230904,0.34623474,0.36956927,0.44856041333333324
"Ain't it a Shame„, and “I Want to Have a Baby‟",0.33350664,0.1537641,0.117168166,0.2861426,0.11834288,0.191374,0.200049731
" Obama a'monkey' for suggesting he would have a tough time re-election, has been declared",0.6642987,0.38507965,0.2218271,0.226073,0.4974215,0.4033408,0.3996734583333333
" eye again and again. And then say a little bit more. And then be like, ""Hey",0.072874404,0.031866133,0.03200395,0.10976312,0.029391771,0.04650844,0.053734636333333335
" and all his supporters,"" according to the Star. (RELATED: Hillary Clinton Blames 'Black Lives",0.3071324,0.116124146,0.08855603,0.11184411,0.10241831,0.41124654,0.18955358933333333
 and the truck start driving u? that's when we gonna go back to camp and see what we,0.07701423,0.033458386,0.026916329,0.22074494,0.035860777,0.027976118,0.07032846333333333
" ""Racial Prejudices Are Alive and Well"". It is believed to include phrases such as """,0.17458136,0.11483835,0.18260936,0.18835166,0.118060805,0.31648278,0.18248738583333335
".
Catching him in the act of raping his neighbor's wife, she chased the man around",0.8493474,0.68314475,0.95773906,0.8549061,0.7425968,0.43173787,0.75324533
" with them back by being unapologetic about his love for guns in his new movie.

",0.24011144,0.11357646,0.083065465,0.5352815,0.073466465,0.109143056,0.192440731
"up bully, then it is always best to avoid this situation by asking people before you strike up a",0.40103036,0.16092885,0.050043363,0.5351148,0.14007424,0.09516126,0.23039214549999998
" his genitals, and stuck his hand up his anus and down his throat while yelling a crude sexual attack",0.94992846,0.852028,0.9907033,0.764729,0.91128254,0.31458342,0.7972091199999999
" them all ‒

Miles: He can win a fucking fight in any fucking stadium.",0.94105965,0.76385665,0.3536175,0.37279713,0.9720214,0.39837188,0.6336207016666667
"-slurping, sodding, smug, little, precious, bollocksing,",0.69542736,0.5503078,0.589432,0.28593478,0.7398225,0.29053408,0.5252430866666666
" racist yourself.

If you don't know how to respond to accusations of 'racism'",0.5687968,0.31742617,0.038983215,0.06636596,0.27863386,0.6184856,0.31478193416666667
" nonsense.""

A friend on social media posted the picture of the sign outside a shopping centre,",0.40320382,0.058203097,0.017683994,0.03897513,0.11464909,0.11117222,0.12398122516666667
" hand on my dick.""

‪‏ ‪‏ ‪‏ �",0.9729834,0.80814576,0.9977324,0.25879255,0.98007804,0.38446003,0.7336986966666666
