Sentence,toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,Average
"gh, that's so sad�.

So I think the question is, it�s",0.31089434,0.14650014,0.1496213,0.15071945,0.28178793,0.22176617,0.21021488833333332
".""

""I'm not",0.08790518,0.03457911,0.07984127,0.07825625,0.06334983,0.055667274,0.066599819
"Why would you want to see me in my undies.""

In the end, Eley",0.4032519,0.22651333,0.7407407,0.2538679,0.42200842,0.0986629,0.357507525
 while wearing a headset that,0.056994297,0.020785943,0.07425953,0.06983654,0.038542613,0.032798782,0.0488696175
" ""savage,"" a ""bitch,"" and a ""stupid.""",0.9480856,0.745838,0.45179692,0.2689953,0.95562875,0.4049692,0.6292189616666666
" little guy"" from a new fan from the U.K, and this is the first time I",0.15197639,0.08534944,0.15796423,0.13861503,0.09226646,0.13949856,0.127611685
" cheat-er,"" he said.

He said he has a",0.3667237,0.21861161,0.23048437,0.15892573,0.22914644,0.2493357,0.24220459166666666
" he's a complete douchebag,"" he tweeted.
",0.93232936,0.63707757,0.33802727,0.07673116,0.85883874,0.19330238,0.50605108
" ""misunderstood"" fan over the years.

""I was a huge fan,"" he",0.05697414,0.018165166,0.04365157,0.06706834,0.019006748,0.02196751,0.037805579
I don't know how I'm still in the industry when I feel so strongly about something,0.07461169,0.025466956,0.06625608,0.06897694,0.06396543,0.062060215,0.06022288516666666
 he's dead!‗,0.83032715,0.7067196,0.17875265,0.91432226,0.6580315,0.5736677,0.6436368100000001
" and alcohol, with an eye toward the sexualized side of the early 20th century.

",0.17923595,0.11897016,0.5631176,0.14081235,0.18159583,0.12507589,0.21813463
" fashion.""",0.032010145,0.010179656,0.061329663,0.054720435,0.018500403,0.014981291,0.03195359883333334
" creeper with a chance to make a quick buck.""

",0.12625358,0.043387227,0.11700314,0.12869598,0.07027054,0.03737053,0.0871634995
 gets me off,0.13916017,0.06924431,0.27698916,0.20279212,0.121558666,0.06658939,0.146055636
" night"" and ""I am the penis in the night"".

",0.8875371,0.49301627,0.99623126,0.10047913,0.8793799,0.114209436,0.578475516
 lot of information about the nature of the call but that are very helpful in that they allow us to,0.053219877,0.012905195,0.030257104,0.030876914,0.023550143,0.030738324,0.030257926166666668
"****** punks, they've got him on tape,"" he said.",0.5390304,0.46080172,0.3646837,0.3562003,0.56318897,0.2712108,0.42585264833333336
The Art of Disobeying‬ and “I Don't Give A F,0.17500508,0.08749672,0.10972081,0.12973554,0.16227767,0.13592206,0.13335964666666666
" a Latino gang member by name was released. (Photo by David Ramos/Getty Images)

",0.18473616,0.10795314,0.30653706,0.17269808,0.13836612,0.27555773,0.19764138166666667
 ,0.05944112,0.025209943,0.059199914,0.077610366,0.04347006,0.033472553,0.049733992666666664
", Vote Trump,"" which is about Trump's treatment of women and includes a line that says Trump is",0.22718132,0.07183308,0.053586997,0.06813718,0.04778528,0.20404568,0.11209492283333333
 and it's already gone. #deehaaa Ugh. #deehaaa But,0.099783316,0.038653698,0.061069056,0.096914925,0.06689908,0.046957713,0.06837963133333333
: 'I don,0.15223484,0.06949671,0.08313256,0.17681491,0.091966264,0.13747782,0.11852051733333334
" while he was asleep in his

",0.1546081,0.055835977,0.1190385,0.12986214,0.09402569,0.07559278,0.10482719783333334
" up.

",0.050504528,0.017194064,0.052097395,0.07087007,0.027958961,0.020287022,0.03981867333333333
"up idiot, there's a good chance that you think the concept of a woman’s right",0.9244863,0.60894823,0.132515,0.2340335,0.82420033,0.51129377,0.5392461883333334
" the back of his head and upper body, and then placed him in a",0.4738247,0.2655849,0.615843,0.6179911,0.30843675,0.11483335,0.3994189666666667
